Gamma	T/Tc	Delta_h	Delta_e	TildesTotal
0.0	1.0	-1.4771281212578434e-07	9.138062862613909e-08	"[[ 1.57567600e+00, 9.13806286e-08,-1.47712812e-07],
 [ 4.72702799e+00, 9.13806286e-08,-1.47712812e-07],
 [ 7.87837998e+00, 9.13806286e-08,-1.47712812e-07],
 ...,
 [ 6.47194276e+03, 9.13806286e-08,-1.47712812e-07],
 [ 9.88581843e+03, 9.13806286e-08,-1.47712812e-07],
 [ 1.54669193e+04, 9.13806286e-08,-1.47712812e-07]]"
0.0	0.9875941526902798	-0.2054855215015241	0.12689389737733753	"[[ 1.55612840e+00, 1.26893897e-01,-2.05485522e-01],
 [ 4.66838520e+00, 1.26893897e-01,-2.05485522e-01],
 [ 7.78064200e+00, 1.26893897e-01,-2.05485522e-01],
 ...,
 [ 6.39165283e+03, 1.26893897e-01,-2.05485522e-01],
 [ 9.76317647e+03, 1.26893897e-01,-2.05485522e-01],
 [ 1.52750390e+04, 1.26893897e-01,-2.05485522e-01]]"
0.0	0.9751883053805597	-0.2894390390038398	0.178417272652377	"[[ 1.53658080e+00, 1.78417273e-01,-2.89439039e-01],
 [ 4.60974241e+00, 1.78417273e-01,-2.89439039e-01],
 [ 7.68290402e+00, 1.78417273e-01,-2.89439039e-01],
 ...,
 [ 6.31136289e+03, 1.78417273e-01,-2.89439039e-01],
 [ 9.64053452e+03, 1.78417273e-01,-2.89439039e-01],
 [ 1.50831588e+04, 1.78417273e-01,-2.89439039e-01]]"
0.0	0.9627824580708395	-0.35306176950645024	0.21724391565971538	"[[ 1.51703321e+00, 2.17243916e-01,-3.53061770e-01],
 [ 4.55109963e+00, 2.17243916e-01,-3.53061770e-01],
 [ 7.58516604e+00, 2.17243916e-01,-3.53061770e-01],
 ...,
 [ 6.23107296e+03, 2.17243916e-01,-3.53061770e-01],
 [ 9.51789256e+03, 2.17243916e-01,-3.53061770e-01],
 [ 1.48912786e+04, 2.17243916e-01,-3.53061770e-01]]"
0.0	0.9503766107611193	-0.4060269693796357	0.2493824778516701	"[[ 1.49748561e+00, 2.49382478e-01,-4.06026969e-01],
 [ 4.49245684e+00, 2.49382478e-01,-4.06026969e-01],
 [ 7.48742806e+00, 2.49382478e-01,-4.06026969e-01],
 ...,
 [ 6.15078303e+03, 2.49382478e-01,-4.06026969e-01],
 [ 9.39525061e+03, 2.49382478e-01,-4.06026969e-01],
 [ 1.46993983e+04, 2.49382478e-01,-4.06026969e-01]]"
0.0	0.9379707634513991	-0.45209671720192823	0.2771747442530275	"[[ 1.47793802e+00, 2.77174744e-01,-4.52096717e-01],
 [ 4.43381405e+00, 2.77174744e-01,-4.52096717e-01],
 [ 7.38969008e+00, 2.77174744e-01,-4.52096717e-01],
 ...,
 [ 6.07049309e+03, 2.77174744e-01,-4.52096717e-01],
 [ 9.27260866e+03, 2.77174744e-01,-4.52096717e-01],
 [ 1.45075181e+04, 2.77174744e-01,-4.52096717e-01]]"
0.0	0.925564916141679	-0.49320771648771494	0.301828803246344	"[[ 1.45839042e+00, 3.01828803e-01,-4.93207716e-01],
 [ 4.37517126e+00, 3.01828803e-01,-4.93207716e-01],
 [ 7.29195210e+00, 3.01828803e-01,-4.93207716e-01],
 ...,
 [ 5.99020316e+03, 3.01828803e-01,-4.93207716e-01],
 [ 9.14996670e+03, 3.01828803e-01,-4.93207716e-01],
 [ 1.43156379e+04, 3.01828803e-01,-4.93207716e-01]]"
0.0	0.9131590688319589	-0.5305145889127992	0.3240664680854058	"[[ 1.43884283e+00, 3.24066468e-01,-5.30514589e-01],
 [ 4.31652848e+00, 3.24066468e-01,-5.30514589e-01],
 [ 7.19421413e+00, 3.24066468e-01,-5.30514589e-01],
 ...,
 [ 5.90991322e+03, 3.24066468e-01,-5.30514589e-01],
 [ 9.02732475e+03, 3.24066468e-01,-5.30514589e-01],
 [ 1.41237576e+04, 3.24066468e-01,-5.30514589e-01]]"
0.0	0.9007532215222386	-0.5647722172572497	0.3443607420677714	"[[ 1.41929523e+00, 3.44360742e-01,-5.64772217e-01],
 [ 4.25788569e+00, 3.44360742e-01,-5.64772217e-01],
 [ 7.09647615e+00, 3.44360742e-01,-5.64772217e-01],
 ...,
 [ 5.82962329e+03, 3.44360742e-01,-5.64772217e-01],
 [ 8.90468279e+03, 3.44360742e-01,-5.64772217e-01],
 [ 1.39318774e+04, 3.44360742e-01,-5.64772217e-01]]"
0.0	0.8883473742125185	-0.5965066646025897	0.3630420598955064	"[[ 1.39974763e+00, 3.63042060e-01,-5.96506665e-01],
 [ 4.19924290e+00, 3.63042060e-01,-5.96506665e-01],
 [ 6.99873817e+00, 3.63042060e-01,-5.96506665e-01],
 ...,
 [ 5.74933336e+03, 3.63042060e-01,-5.96506665e-01],
 [ 8.78204084e+03, 3.63042060e-01,-5.96506665e-01],
 [ 1.37399971e+04, 3.63042060e-01,-5.96506665e-01]]"
0.0	0.8759415269027984	-0.6261021496176478	0.3803523943533256	"[[ 1.38020004e+00, 3.80352394e-01,-6.26102150e-01],
 [ 4.14060011e+00, 3.80352394e-01,-6.26102150e-01],
 [ 6.90100019e+00, 3.80352394e-01,-6.26102150e-01],
 ...,
 [ 5.66904342e+03, 3.80352394e-01,-6.26102150e-01],
 [ 8.65939889e+03, 3.80352394e-01,-6.26102150e-01],
 [ 1.35481169e+04, 3.80352394e-01,-6.26102150e-01]]"
0.0	0.8635356795930781	-0.6538495824133473	0.3964754746052984	"[[ 1.36065244e+00, 3.96475475e-01,-6.53849582e-01],
 [ 4.08195733e+00, 3.96475475e-01,-6.53849582e-01],
 [ 6.80326221e+00, 3.96475475e-01,-6.53849582e-01],
 ...,
 [ 5.58875349e+03, 3.96475475e-01,-6.53849582e-01],
 [ 8.53675693e+03, 3.96475475e-01,-6.53849582e-01],
 [ 1.33562367e+04, 3.96475475e-01,-6.53849582e-01]]"
0.0	0.851129832283358	-0.6799755967135145	0.4115548763464802	"[[ 1.34110485e+00, 4.11554876e-01,-6.79975597e-01],
 [ 4.02331454e+00, 4.11554876e-01,-6.79975597e-01],
 [ 6.70552423e+00, 4.11554876e-01,-6.79975597e-01],
 ...,
 [ 5.50846356e+03, 4.11554876e-01,-6.79975597e-01],
 [ 8.41411498e+03, 4.11554876e-01,-6.79975597e-01],
 [ 1.31643564e+04, 4.11554876e-01,-6.79975597e-01]]"
0.0	0.8387239849736379	-0.7046608849518105	0.42570545604548715	"[[ 1.32155725e+00, 4.25705456e-01,-7.04660885e-01],
 [ 3.96467175e+00, 4.25705456e-01,-7.04660885e-01],
 [ 6.60778625e+00, 4.25705456e-01,-7.04660885e-01],
 ...,
 [ 5.42817362e+03, 4.25705456e-01,-7.04660885e-01],
 [ 8.29147303e+03, 4.25705456e-01,-7.04660885e-01],
 [ 1.29724762e+04, 4.25705456e-01,-7.04660885e-01]]"
0.0	0.8263181376639176	-0.7280522953088063	0.43902090141523353	"[[ 1.30200965e+00, 4.39020901e-01,-7.28052295e-01],
 [ 3.90602896e+00, 4.39020901e-01,-7.28052295e-01],
 [ 6.51004827e+00, 4.39020901e-01,-7.28052295e-01],
 ...,
 [ 5.34788369e+03, 4.39020901e-01,-7.28052295e-01],
 [ 8.16883107e+03, 4.39020901e-01,-7.28052295e-01],
 [ 1.27805959e+04, 4.39020901e-01,-7.28052295e-01]]"
0.0	0.8139122903541975	-0.7502711056713257	0.4515789002420614	"[[ 1.28246206e+00, 4.51578900e-01,-7.50271106e-01],
 [ 3.84738618e+00, 4.51578900e-01,-7.50271106e-01],
 [ 6.41231029e+00, 4.51578900e-01,-7.50271106e-01],
 ...,
 [ 5.26759376e+03, 4.51578900e-01,-7.50271106e-01],
 [ 8.04618912e+03, 4.51578900e-01,-7.50271106e-01],
 [ 1.25887157e+04, 4.51578900e-01,-7.50271106e-01]]"
0.0	0.8015064430444774	-0.7714188561733244	0.46344478739911965	"[[ 1.26291446e+00, 4.63444787e-01,-7.71418856e-01],
 [ 3.78874339e+00, 4.63444787e-01,-7.71418856e-01],
 [ 6.31457231e+00, 4.63444787e-01,-7.71418856e-01],
 ...,
 [ 5.18730382e+03, 4.63444787e-01,-7.71418856e-01],
 [ 7.92354716e+03, 4.63444787e-01,-7.71418856e-01],
 [ 1.23968355e+04, 4.63444787e-01,-7.71418856e-01]]"
0.0	0.7891005957347571	-0.7915815676671651	0.47467418516820176	"[[ 1.24336687e+00, 4.74674185e-01,-7.91581568e-01],
 [ 3.73010060e+00, 4.74674185e-01,-7.91581568e-01],
 [ 6.21683434e+00, 4.74674185e-01,-7.91581568e-01],
 ...,
 [ 5.10701389e+03, 4.74674185e-01,-7.91581568e-01],
 [ 7.80090521e+03, 4.74674185e-01,-7.91581568e-01],
 [ 1.22049552e+04, 4.74674185e-01,-7.91581568e-01]]"
0.0	0.7766947484250369	-0.8108328610242668	0.4853149576122803	"[[ 1.22381927e+00, 4.85314958e-01,-8.10832861e-01],
 [ 3.67145781e+00, 4.85314958e-01,-8.10832861e-01],
 [ 6.11909636e+00, 4.85314958e-01,-8.10832861e-01],
 ...,
 [ 5.02672395e+03, 4.85314958e-01,-8.10832861e-01],
 [ 7.67826326e+03, 4.85314958e-01,-8.10832861e-01],
 [ 1.20130750e+04, 4.85314958e-01,-8.10832861e-01]]"
0.0	0.7642889011153169	-0.8292363084850919	0.4954086854212931	"[[ 1.20427168e+00, 4.95408685e-01,-8.29236308e-01],
 [ 3.61281503e+00, 4.95408685e-01,-8.29236308e-01],
 [ 6.02135838e+00, 4.95408685e-01,-8.29236308e-01],
 ...,
 [ 4.94643402e+03, 4.95408685e-01,-8.29236308e-01],
 [ 7.55562130e+03, 4.95408685e-01,-8.29236308e-01],
 [ 1.18211947e+04, 4.95408685e-01,-8.29236308e-01]]"
0.0	0.7518830538055966	-0.8468472363253355	0.5049917979452411	"[[ 1.18472408e+00, 5.04991798e-01,-8.46847236e-01],
 [ 3.55417224e+00, 5.04991798e-01,-8.46847236e-01],
 [ 5.92362040e+00, 5.04991798e-01,-8.46847236e-01],
 ...,
 [ 4.86614409e+03, 5.04991798e-01,-8.46847236e-01],
 [ 7.43297935e+03, 5.04991798e-01,-8.46847236e-01],
 [ 1.16293145e+04, 5.04991798e-01,-8.46847236e-01]]"
0.0	0.7394772064958764	-0.8637141276897541	0.5140964552645731	"[[ 1.16517648e+00, 5.14096455e-01,-8.63714128e-01],
 [ 3.49552945e+00, 5.14096455e-01,-8.63714128e-01],
 [ 5.82588242e+00, 5.14096455e-01,-8.63714128e-01],
 ...,
 [ 4.78585415e+03, 5.14096455e-01,-8.63714128e-01],
 [ 7.31033739e+03, 5.14096455e-01,-8.63714128e-01],
 [ 1.14374343e+04, 5.14096455e-01,-8.63714128e-01]]"
0.0	0.7270713591861563	-0.8798797289165801	0.5227512447736089	"[[ 1.14562889e+00, 5.22751245e-01,-8.79879729e-01],
 [ 3.43688666e+00, 5.22751245e-01,-8.79879729e-01],
 [ 5.72814444e+00, 5.22751245e-01,-8.79879729e-01],
 ...,
 [ 4.70556422e+03, 5.22751245e-01,-8.79879729e-01],
 [ 7.18769544e+03, 5.22751245e-01,-8.79879729e-01],
 [ 1.12455540e+04, 5.22751245e-01,-8.79879729e-01]]"
0.0	0.7146655118764361	-0.8953819325095239	0.5309817379436208	"[[ 1.12608129e+00, 5.30981738e-01,-8.95381933e-01],
 [ 3.37824388e+00, 5.30981738e-01,-8.95381933e-01],
 [ 5.63040646e+00, 5.30981738e-01,-8.95381933e-01],
 ...,
 [ 4.62527429e+03, 5.30981738e-01,-8.95381933e-01],
 [ 7.06505349e+03, 5.30981738e-01,-8.95381933e-01],
 [ 1.10536738e+04, 5.30981738e-01,-8.95381933e-01]]"
0.0	0.702259664566716	-0.9102544894876808	0.5388109401889462	"[[ 1.10653370e+00, 5.38810940e-01,-9.10254489e-01],
 [ 3.31960109e+00, 5.38810940e-01,-9.10254489e-01],
 [ 5.53266848e+00, 5.38810940e-01,-9.10254489e-01],
 ...,
 [ 4.54498435e+03, 5.38810940e-01,-9.10254489e-01],
 [ 6.94241153e+03, 5.38810940e-01,-9.10254489e-01],
 [ 1.08617935e+04, 5.38810940e-01,-9.10254489e-01]]"
0.0	0.6898538172569958	-0.924527589739201	0.5462596579550966	"[[ 1.08698610e+00, 5.46259658e-01,-9.24527590e-01],
 [ 3.26095830e+00, 5.46259658e-01,-9.24527590e-01],
 [ 5.43493050e+00, 5.46259658e-01,-9.24527590e-01],
 ...,
 [ 4.46469442e+03, 5.46259658e-01,-9.24527590e-01],
 [ 6.81976958e+03, 5.46259658e-01,-9.24527590e-01],
 [ 1.06699133e+04, 5.46259658e-01,-9.24527590e-01]]"
0.0	0.6774479699472756	-0.9382283390931866	0.5533468009564744	"[[ 1.06743850e+00, 5.53346801e-01,-9.38228339e-01],
 [ 3.20231551e+00, 5.53346801e-01,-9.38228339e-01],
 [ 5.33719252e+00, 5.53346801e-01,-9.38228339e-01],
 ...,
 [ 4.38440448e+03, 5.53346801e-01,-9.38228339e-01],
 [ 6.69712762e+03, 5.53346801e-01,-9.38228339e-01],
 [ 1.04780331e+04, 5.53346801e-01,-9.38228339e-01]]"
0.0	0.6650421226375555	-0.9513811547483055	0.5600896330673141	"[[ 1.04789091e+00, 5.60089633e-01,-9.51381155e-01],
 [ 3.14367273e+00, 5.60089633e-01,-9.51381155e-01],
 [ 5.23945454e+00, 5.60089633e-01,-9.51381155e-01],
 ...,
 [ 4.30411455e+03, 5.60089633e-01,-9.51381155e-01],
 [ 6.57448567e+03, 5.60089633e-01,-9.51381155e-01],
 [ 1.02861528e+04, 5.60089633e-01,-9.51381155e-01]]"
